ID,position,team,goals_scored,saves_per_90,penalties_saved,own_goals,clean_sheets,saves,yellow_cards,red_cards,Goals,Wins,Losses,Goals Conceded,Tackles,Tackle success %,Interceptions,Recoveries,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Assists,Passes,Big Chances Created,Cross accuracy %,Accurate long balls,Fouls,Headed goals,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Goals_Assists,Total_Contributions,Minutes_per_Goal,Minutes_per_Assist,Goals_Category,Assists_Category
52,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
53,3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
54,3,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,11.0,3.0,0.53,1.0,34.0,33.0,30.0,5.0,6.0,0.0,43.0,0.0,0.0,6.0,4.0,0.0,2.0,1.0,0.5,0.0,0.0,0,0.0,151.0,151.0,0,0
55,3,2,0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,12.0,16.0,11.0,86.0,0.51,52.0,231.0,196.0,225.0,22.0,38.0,5.0,1220.0,10.0,0.26,88.0,48.0,0.0,43.0,13.0,0.3,0.0,0.0,5,5.0,1322.0,220.33333333333334,0,1
56,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
57,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.67,3.0,7.0,7.0,4.0,4.0,1.0,0.0,34.0,0.0,0.0,3.0,1.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,15.0,15.0,0,0
58,0,2,0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,11.0,32.0,24.0,0.79,13.0,121.0,67.0,52.0,28.0,18.0,1.0,772.0,2.0,0.24,55.0,17.0,0.0,5.0,2.0,0.22,0.0,0.0,1,1.0,681.0,340.5,0,1
59,0,2,0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,7.0,11.0,32.0,24.0,0.79,13.0,121.0,67.0,52.0,28.0,18.0,1.0,772.0,2.0,0.24,55.0,17.0,0.0,5.0,2.0,0.22,0.0,0.0,1,1.0,681.0,340.5,0,1
60,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
61,3,2,1,0.0,0.0,0.0,4.0,0.0,1.0,0.0,7.0,10.0,13.0,11.0,28.0,0.53,8.0,34.0,33.0,30.0,5.0,6.0,1.0,381.0,1.0,0.0,6.0,52.0,0.0,56.0,20.0,0.36,7.0,0.0,8,8.0,84.0,336.0,2,1
62,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
63,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
64,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,40.0,1.0,0.0,6.0,5.0,1.0,6.0,2.0,0.33,2.0,0.0,1,1.0,46.5,93.0,1,0
65,3,2,0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,12.0,12.0,11.0,45.0,0.53,22.0,34.0,33.0,30.0,5.0,6.0,2.0,448.0,1.0,0.0,6.0,15.0,1.0,30.0,7.0,0.23,2.0,0.0,3,3.0,158.0,105.33333333333333,1,1
66,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
67,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,11.0,7.0,0.29,3.0,32.0,16.0,18.0,0.0,2.0,0.0,202.0,0.0,0.17,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0.0,380.0,380.0,0,0
68,1,2,3,0.0,0.0,0.0,3.0,0.0,3.0,0.0,8.0,13.0,13.0,11.0,24.0,0.53,6.0,34.0,33.0,30.0,5.0,6.0,2.0,587.0,6.0,0.0,6.0,43.0,0.0,70.0,31.0,0.44,5.0,0.0,10,10.0,82.55555555555556,247.66666666666666,2,1
69,0,2,2,0.0,0.0,0.0,3.0,0.0,4.0,0.0,4.0,9.0,14.0,44.0,55.0,0.58,35.0,164.0,114.0,131.0,41.0,41.0,5.0,1259.0,2.0,0.44,125.0,41.0,3.0,5.0,2.0,0.22,0.0,0.0,9,9.0,205.0,170.83333333333334,1,1
70,3,2,2,0.0,0.0,0.0,4.0,0.0,1.0,0.0,3.0,11.0,12.0,11.0,53.0,0.64,5.0,142.0,132.0,169.0,13.0,31.0,4.0,760.0,7.0,0.21,26.0,20.0,0.0,53.0,16.0,0.3,3.0,0.0,7,7.0,248.25,198.6,1,1
71,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,105.0,0.0,0.0,23.0,1.0,0.0,5.0,2.0,0.22,0.0,13.0,0,0.0,0.0,0.0,0,0
72,0,2,0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0,12.0,16.0,67.0,59.0,0.54,33.0,153.0,167.0,115.0,77.0,61.0,0.0,1802.0,0.0,0.0,131.0,24.0,1.0,5.0,2.0,0.22,0.0,0.0,1,1.0,765.0,1530.0,1,0
73,0,2,0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,8.0,12.0,37.0,47.0,0.55,20.0,93.0,98.0,88.0,18.0,32.0,1.0,627.0,3.0,0.2,22.0,25.0,0.0,5.0,2.0,0.22,0.0,0.0,1,1.0,1160.0,580.0,0,1
74,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
75,0,2,0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,12.0,62.0,174.0,141.0,0.66,73.0,407.0,404.0,383.0,41.0,111.0,4.0,2887.0,10.0,0.21,94.0,68.0,0.0,5.0,2.0,0.22,0.0,0.0,4,4.0,949.0,189.8,0,1
76,3,2,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,11.0,11.0,24.0,0.63,12.0,63.0,76.0,89.0,17.0,22.0,1.0,432.0,4.0,0.19,15.0,20.0,0.0,15.0,4.0,0.27,0.0,0.0,2,2.0,115.0,115.0,1,1
77,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,11.0,4.0,0.75,4.0,7.0,11.0,4.0,2.0,3.0,0.0,69.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
78,3,2,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,7.0,7.0,11.0,23.0,0.53,8.0,34.0,33.0,30.0,5.0,6.0,2.0,281.0,2.0,0.0,6.0,11.0,0.0,27.0,9.0,0.33,1.0,0.0,4,4.0,93.33333333333333,93.33333333333333,1,1
79,0,3,0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,8.0,12.0,33.0,38.0,0.55,25.0,60.0,121.0,69.0,65.0,23.0,1.0,722.0,5.0,0.23,31.0,25.0,1.0,5.0,2.0,0.22,0.0,0.0,3,3.0,241.0,361.5,1,1
80,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
81,3,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,11.0,4.0,1.0,3.0,17.0,13.0,18.0,3.0,6.0,1.0,86.0,1.0,0.67,4.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,2,2.0,94.0,94.0,1,1
