ID,Name,position,team,goals_scored,saves_per_90,penalties_saved,own_goals,clean_sheets,saves,minutes,yellow_cards,red_cards,Goals,Wins,Losses,Goals Conceded,Tackles,Tackle success %,Interceptions,Recoveries,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Assists,Passes,Big Chances Created,Cross accuracy %,Accurate long balls,Fouls,Headed goals,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves
117,Aaron Connolly,FWD,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
118,Mahmoud Dahoud,MID,Brighton,0,0,0,0,1,0,449,1,1,0,5,0,,9,44%,1,26,13,25,0,5,1,325,2,33%,10,6,0,6,1,17%,0,
119,Julio Enciso,MID,Brighton,0,0,0,0,0,0,68,1,0,0,4,5,,6,,0,,,,,,2,167,4,,,6,0,28,8,29%,2,
120,Pervis Estupiñán,DEF,Brighton,1,0,0,1,0,0,495,2,0,2,8,7,26,26,50%,21,90,64,67,12,14,3,820,4,23%,13,22,0,,,,,
121,Evan Ferguson,FWD,Brighton,6,0,0,0,1,0,913,1,0,6,11,9,,14,,2,,,,,,0,300,1,,,24,0,33,20,61%,4,
122,Billy Gilmour,MID,Brighton,0,0,0,0,2,0,1095,4,0,0,11,10,,26,62%,11,132,75,88,11,21,1,"2,065",3,32%,64,22,0,25,5,20%,0,
123,Pascal Groß,MID,Brighton,3,0,0,0,1,0,1371,3,0,4,11,13,,70,66%,22,144,127,121,14,17,10,"2,927",11,37%,98,23,0,55,20,36%,9,
124,Adam Lallana,MID,Brighton,0,0,0,0,1,0,479,1,0,0,7,8,,8,38%,3,22,25,44,3,5,1,499,2,29%,3,8,0,11,2,18%,0,
125,Tariq Lamptey,DEF,Brighton,0,0,0,0,0,0,171,2,0,0,7,8,20,21,67%,6,32,49,38,4,9,3,371,1,29%,7,11,0,,,,,
126,Tariq Lamptey,DEF,Brighton,0,0,0,0,0,0,171,2,0,0,7,8,20,21,67%,6,32,49,38,4,9,3,371,1,29%,7,11,0,,,,,
127,Tom McGill,GKP,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
128,Kaoru Mitoma,MID,Brighton,3,0,0,0,0,0,1320,4,0,3,7,6,,13,,5,,,,,,4,597,6,,,14,1,34,15,44%,6,
129,Jakub Moder,MID,Brighton,0,0,0,0,0,0,26,0,0,0,6,6,,19,53%,2,40,33,33,3,5,0,289,2,0%,3,8,0,11,3,27%,1,
130,Jakub Moder,MID,Brighton,0,0,0,0,0,0,26,0,0,0,6,6,,19,53%,2,40,33,33,3,5,0,289,2,0%,3,8,0,11,3,27%,1,
131,Kjell Scherpen,GKP,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
132,Kjell Scherpen,GKP,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,,,0,0,,,,,,0
133,Deniz Undav,FWD,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,,,,0,0,0,,,0,0,0,0,0%,0,
134,Jan Paul van Hecke,DEF,Brighton,0,0,0,0,0,0,1018,2,0,0,9,9,38,47,55%,30,130,135,71,66,34,0,"2,399",0,25%,88,14,0,,,,,
